#{"t_start": 1637959101.1178849, "env_id": "NewHriEnv-v1"}
r,l,t
-3510.931408,200,10.371268
-3805.698756,200,20.719733
-8619.105348,200,31.058399
-2052.725874,200,41.413136
-5013.778115,200,51.791286
-4343.079446,200,62.195338
-3217.495826,200,72.561418
-6608.124782,200,82.895203
-3441.985644,200,93.28945
-3503.268887,200,103.671911
-2653.567876,200,114.02986
-4681.368218,200,124.353798
-6337.479252,200,134.675456
-3662.762051,200,145.052847
-8208.152807,200,155.401223
-2310.014755,200,165.738653
-4107.672374,200,176.07201
-2589.403355,200,186.402174
-2080.095179,200,196.777207
-2408.80401,200,207.10326
-4334.372341,200,217.449242
-4296.741423,200,227.798
-2451.587082,200,238.128454
-2207.741453,200,248.460268
-4108.530269,200,258.787628
-3743.391627,200,269.128102
-3725.712652,200,279.520102
-3454.264375,200,289.871167
-2797.205366,200,300.198935
-3126.489921,200,310.571306
-2213.792946,200,320.910425
-7223.708569,200,331.330139
-4649.617605,200,341.652041
-3274.32728,200,351.99973
-3124.598017,200,362.32268
-7600.403838,200,372.664494
-2267.078097,200,383.037259
-6666.161814,200,393.362713
-9084.250788,200,403.711807
-2650.35289,200,414.064911
-2877.327867,200,424.43537
-6494.986665,200,434.765397
-3523.472615,200,445.100503
-5724.819337,200,455.433027
-4149.09081,200,465.840984
-3683.44128,200,476.207964
-3551.881895,200,486.540817
-3787.984981,200,496.893701
-5381.494039,200,507.226711
-2090.858833,200,517.568182
-936.668589,200,528.04818
-922.602017,200,539.770948
-922.525714,200,551.447551
-936.054956,200,563.070053
-891.803581,200,574.72613
-888.422465,200,586.423077
-952.938736,200,598.044201
-1211.902295,200,609.649532
-1314.923977,200,621.291514
-1459.184285,200,632.90907
-1895.843611,200,644.649687
-2275.620821,200,656.316016
-1944.140159,200,667.960859
-1735.828811,200,679.525311
-2379.453847,200,691.186326
-2272.793069,200,702.782731
-1813.364876,200,714.349598
-1541.81773,200,725.924153
-741.364931,200,737.478079
-1092.233461,200,748.99511
-1524.440959,200,760.635085
-1979.410417,200,772.254443
-1478.835887,200,783.797187
-1239.627499,200,795.392582
-1444.46605,200,806.975317
-1326.828884,200,818.582447
-1142.398516,200,830.143126
-2095.459319,200,841.766244
-1142.919529,200,853.338847
-932.962437,200,864.512195
-636.157029,200,875.656092
-597.743801,200,886.716886
-793.6908,200,897.770245
-1092.817871,200,908.829212
-5566.558438,200,919.880579
-1220.590244,200,930.959439
-2355.168485,200,942.023524
-3376.945936,200,953.284373
-2574.130623,200,964.461562
-1311.014416,200,975.595708
-1291.747367,200,986.725329
-1404.027625,200,997.788408
-1381.002377,200,1008.849847
-2070.918369,200,1020.009321
